album_total_tracks,album_id,album_name,album_release_date,artists_label,album_popularity,track_duration(ms),track_id,track_name,track_number,artist_id,artist_name,artist_uri
1,2PIG7XmhUiqFxlHP8tCyzq,S,2020-10-09,I WANT THE MOON,4,239808,336eHf6SexQkX3MZDykFC7,S,1,0TF6B1cp2QZXLE0NjhTMT9,LITE,spotify:artist:0TF6B1cp2QZXLE0NjhTMT9
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,235530,25PU8AIAIkIZbwioXUcV8b,Princibly This,1,2lQvoGjN6jJfsAkaywtgrB,Canibus,spotify:artist:2lQvoGjN6jJfsAkaywtgrB
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,235530,25PU8AIAIkIZbwioXUcV8b,Princibly This,1,3BeQqzKdlARoOd6y30kCO2,Pete Rock,spotify:artist:3BeQqzKdlARoOd6y30kCO2
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,234944,6ZTtsFOHVQsk9w2ab8VZnd,Princibly This - Instrumental,2,2lQvoGjN6jJfsAkaywtgrB,Canibus,spotify:artist:2lQvoGjN6jJfsAkaywtgrB
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,234944,6ZTtsFOHVQsk9w2ab8VZnd,Princibly This - Instrumental,2,3BeQqzKdlARoOd6y30kCO2,Pete Rock,spotify:artist:3BeQqzKdlARoOd6y30kCO2
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,207000,0RUgM24Wd5lG1qzaFzqNlM,Poet's Palaquin,3,2lQvoGjN6jJfsAkaywtgrB,Canibus,spotify:artist:2lQvoGjN6jJfsAkaywtgrB
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,207000,0RUgM24Wd5lG1qzaFzqNlM,Poet's Palaquin,3,3BeQqzKdlARoOd6y30kCO2,Pete Rock,spotify:artist:3BeQqzKdlARoOd6y30kCO2
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,207000,0PAuLCtjKyEbWzt7J4PASt,Poet's Palaquin - Instrumental,4,2lQvoGjN6jJfsAkaywtgrB,Canibus,spotify:artist:2lQvoGjN6jJfsAkaywtgrB
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,207000,0PAuLCtjKyEbWzt7J4PASt,Poet's Palaquin - Instrumental,4,3BeQqzKdlARoOd6y30kCO2,Pete Rock,spotify:artist:3BeQqzKdlARoOd6y30kCO2
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,315000,2RyTMpAecggVj0s62OU8fu,Concourse P - Remix,5,2lQvoGjN6jJfsAkaywtgrB,Canibus,spotify:artist:2lQvoGjN6jJfsAkaywtgrB
7,6e36z5608yXtKm0CEjf7S0,C,2022-04-29,Fat Beats Records,6,315000,2RyTMpAecggVj0s62OU8fu,Concourse P - Remix,5,3BeQqzKdlARoOd6y30kCO2,Pete Rock,spotify:artist:3BeQqzKdlARoOd6y30kCO2
