,genres,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
0,"['math rock', 'post-rock']",0TF6B1cp2QZXLE0NjhTMT9,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb72504ed05bd77d049265f3ca', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517472504ed05bd77d049265f3ca', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17872504ed05bd77d049265f3ca', 'height': 160, 'width': 160}]",LITE,29,artist,spotify:artist:0TF6B1cp2QZXLE0NjhTMT9,https://open.spotify.com/artist/0TF6B1cp2QZXLE0NjhTMT9,,65406
0,"['east coast hip hop', 'hardcore hip hop', 'underground hip hop']",2lQvoGjN6jJfsAkaywtgrB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebc73857fef8c76efb648a5687', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c73857fef8c76efb648a5687', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c73857fef8c76efb648a5687', 'height': 160, 'width': 160}]",Canibus,39,artist,spotify:artist:2lQvoGjN6jJfsAkaywtgrB,https://open.spotify.com/artist/2lQvoGjN6jJfsAkaywtgrB,,112620
0,"['jazz rap', 'east coast hip hop', 'boom bap']",3BeQqzKdlARoOd6y30kCO2,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebeec4209972c20ba63730bb00', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174eec4209972c20ba63730bb00', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178eec4209972c20ba63730bb00', 'height': 160, 'width': 160}]",Pete Rock,53,artist,spotify:artist:3BeQqzKdlARoOd6y30kCO2,https://open.spotify.com/artist/3BeQqzKdlARoOd6y30kCO2,,371122
0,"['underground hip hop', 'boom bap']",4VhYUWpDsLraUG6Sd8g9TF,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb89ba8bce4767f9e486d8b6bc', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517489ba8bce4767f9e486d8b6bc', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17889ba8bce4767f9e486d8b6bc', 'height': 160, 'width': 160}]",Bronze Nazareth,33,artist,spotify:artist:4VhYUWpDsLraUG6Sd8g9TF,https://open.spotify.com/artist/4VhYUWpDsLraUG6Sd8g9TF,,22608
0,['modern rock'],26T3LtbuGT1Fu9m0eRq5X3,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb766df8f443e0160f7b35545d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174766df8f443e0160f7b35545d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178766df8f443e0160f7b35545d', 'height': 160, 'width': 160}]",Cage The Elephant,74,artist,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,https://open.spotify.com/artist/26T3LtbuGT1Fu9m0eRq5X3,,4072876
0,[],5rexG906fVLfq8H9m8J9P9,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebff1bd6312a511f939fe92f49', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174ff1bd6312a511f939fe92f49', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178ff1bd6312a511f939fe92f49', 'height': 160, 'width': 160}]",Alison Mosshart,42,artist,spotify:artist:5rexG906fVLfq8H9m8J9P9,https://open.spotify.com/artist/5rexG906fVLfq8H9m8J9P9,,20808
0,['country'],4FGPzWzgjURDNT7JQ8pYgH,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb7b22795b151c674a20430256', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051747b22795b151c674a20430256', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1787b22795b151c674a20430256', 'height': 160, 'width': 160}]",Zach Top,74,artist,spotify:artist:4FGPzWzgjURDNT7JQ8pYgH,https://open.spotify.com/artist/4FGPzWzgjURDNT7JQ8pYgH,,482638
0,['new age'],6zuxaIpAfcRq48qHl9f5KO,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273a7b0dc9fba6c32d1ef6042a1', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02a7b0dc9fba6c32d1ef6042a1', 'height': 300, 'width': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851a7b0dc9fba6c32d1ef6042a1', 'height': 64, 'width': 64}]",Marcey Hamm,12,artist,spotify:artist:6zuxaIpAfcRq48qHl9f5KO,https://open.spotify.com/artist/6zuxaIpAfcRq48qHl9f5KO,,417
0,[],6T70tWxqyIpdVbsFvPzqM3,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb5af0d1af415910587153c02d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745af0d1af415910587153c02d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785af0d1af415910587153c02d', 'height': 160, 'width': 160}]",La La Land Cast,49,artist,spotify:artist:6T70tWxqyIpdVbsFvPzqM3,https://open.spotify.com/artist/6T70tWxqyIpdVbsFvPzqM3,,16321
0,['musicals'],68Uwx1d3EbjDJhYsLjqvIq,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba48d0fc5e30ce5b742dd7936', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a48d0fc5e30ce5b742dd7936', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a48d0fc5e30ce5b742dd7936', 'height': 160, 'width': 160}]",Emma Stone,57,artist,spotify:artist:68Uwx1d3EbjDJhYsLjqvIq,https://open.spotify.com/artist/68Uwx1d3EbjDJhYsLjqvIq,,54219
0,['musicals'],13kKxNPnxPeeWQaAaZwvCP,[],Callie Hernandez,44,artist,spotify:artist:13kKxNPnxPeeWQaAaZwvCP,https://open.spotify.com/artist/13kKxNPnxPeeWQaAaZwvCP,,460
0,['musicals'],4FFGJ9ERSX06Sl8hD7GRVv,[],Sonoya Mizuno,44,artist,spotify:artist:4FFGJ9ERSX06Sl8hD7GRVv,https://open.spotify.com/artist/4FFGJ9ERSX06Sl8hD7GRVv,,429
0,['musicals'],21yiGQIpkiP8edfxDipQaW,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb1fc02d572b7f3fab56918376', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051741fc02d572b7f3fab56918376', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1781fc02d572b7f3fab56918376', 'height': 160, 'width': 160}]",Jessica Rothe,44,artist,spotify:artist:21yiGQIpkiP8edfxDipQaW,https://open.spotify.com/artist/21yiGQIpkiP8edfxDipQaW,,467
0,[],2snm3HmsnDUDxbIChdl2Oj,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb152668866cc33ae3fe2f4ede', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174152668866cc33ae3fe2f4ede', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178152668866cc33ae3fe2f4ede', 'height': 160, 'width': 160}]",Justin Hurwitz,63,artist,spotify:artist:2snm3HmsnDUDxbIChdl2Oj,https://open.spotify.com/artist/2snm3HmsnDUDxbIChdl2Oj,,180655
0,[],6kXm2YCtdUOpRYNKeKhfue,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb2a4a7d2d1e8acd5d95df137e', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051742a4a7d2d1e8acd5d95df137e', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1782a4a7d2d1e8acd5d95df137e', 'height': 160, 'width': 160}]",Ryan Gosling,59,artist,spotify:artist:6kXm2YCtdUOpRYNKeKhfue,https://open.spotify.com/artist/6kXm2YCtdUOpRYNKeKhfue,,261757
0,"['soft pop', 'neo soul']",5y2Xq6xcjJb2jVM54GHK3t,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb01784e44ffd1a339350f4417', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517401784e44ffd1a339350f4417', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17801784e44ffd1a339350f4417', 'height': 160, 'width': 160}]",John Legend,76,artist,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t,,7542064
0,"['v-pop', 'vietnam indie', 'vietnamese hip hop']",3y6Lfjkrdn5TgkbgDxbpvM,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebbcf522c762631180c74a355d', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174bcf522c762631180c74a355d', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178bcf522c762631180c74a355d', 'height': 160, 'width': 160}]",marzuz,55,artist,spotify:artist:3y6Lfjkrdn5TgkbgDxbpvM,https://open.spotify.com/artist/3y6Lfjkrdn5TgkbgDxbpvM,,26085
0,"['v-pop', 'vietnam indie']",4XrL4M8qhP14zpdqfb5F9a,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb47b9f11373ed8c24e660af64', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517447b9f11373ed8c24e660af64', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17847b9f11373ed8c24e660af64', 'height': 160, 'width': 160}]",maiki,25,artist,spotify:artist:4XrL4M8qhP14zpdqfb5F9a,https://open.spotify.com/artist/4XrL4M8qhP14zpdqfb5F9a,,48
0,[],0fTSzq9jAh4c36UVb4V7CB,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb16259488e0146d0807b53e62', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517416259488e0146d0807b53e62', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17816259488e0146d0807b53e62', 'height': 160, 'width': 160}]",Alex Warren,82,artist,spotify:artist:0fTSzq9jAh4c36UVb4V7CB,https://open.spotify.com/artist/0fTSzq9jAh4c36UVb4V7CB,,954865
0,['east coast hip hop'],3q7HBObVc0L8jNeTe5Gofh,"[{'url': 'https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2', 'height': 977, 'width': 781}, {'url': 'https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118', 'height': 801, 'width': 640}, {'url': 'https://i.scdn.co/image/df73c0cebe56cafe705ffdba5085ccbd5680bd16', 'height': 250, 'width': 200}, {'url': 'https://i.scdn.co/image/1a44043542c997ef835c89e185f0cf79d7402153', 'height': 80, 'width': 64}]",50 Cent,84,artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,,17242355
0,"['rap', 'hip hop']",7dGJo4pcD2V6oG8kP0tJRR,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b', 'height': 160, 'width': 160}]",Eminem,91,artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,,98631229
0,"['southern hip hop', 'crunk']",4pr7J7wzgObkE3DD3Izi7q,"[{'url': 'https://i.scdn.co/image/897e8215aabe5527e4a3cddc3738a9ab55e5dc5c', 'height': 793, 'width': 1000}, {'url': 'https://i.scdn.co/image/5db8190a5fa20da8241785bc6ec5d4b6fa90d76e', 'height': 508, 'width': 640}, {'url': 'https://i.scdn.co/image/f132b933ee33f5a6215e3c89acbb1215884139ee', 'height': 159, 'width': 200}, {'url': 'https://i.scdn.co/image/26b5c060b6e068cdd1a8a350521d8332685d7495', 'height': 51, 'width': 64}]",Young Buck,59,artist,spotify:artist:4pr7J7wzgObkE3DD3Izi7q,https://open.spotify.com/artist/4pr7J7wzgObkE3DD3Izi7q,,1051704
0,"['hip hop', 'east coast hip hop']",50UMTib697JJ44le8DO2Va,"[{'url': 'https://i.scdn.co/image/f42e7b884f327952cedf14f53e5f6a79b62bb838', 'height': 1000, 'width': 1000}, {'url': 'https://i.scdn.co/image/af4998b29a084cf9f1507a1428c4645688e5fea0', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/75742a4250280dbf2e08ad30cc1540a7ff86f43f', 'height': 200, 'width': 200}, {'url': 'https://i.scdn.co/image/78085559b384c689bd8715aaece65ca73b3a3fde', 'height': 64, 'width': 64}]",Tony Yayo,54,artist,spotify:artist:50UMTib697JJ44le8DO2Va,https://open.spotify.com/artist/50UMTib697JJ44le8DO2Va,,391640
0,"['g-funk', 'west coast hip hop', 'gangster rap']",1Oa0bMld0A3u5OTYfMzp5h,"[{'url': 'https://i.scdn.co/image/fd5d1f379a33ee26e2dfaf296bbab0970ec95ede', 'height': 1243, 'width': 1000}, {'url': 'https://i.scdn.co/image/6ee73d7a40401620c5296011dedeea959bd039a0', 'height': 795, 'width': 640}, {'url': 'https://i.scdn.co/image/e5e37b75daf498d5c94f48d4de226d0a8914ef44', 'height': 249, 'width': 200}, {'url': 'https://i.scdn.co/image/6da3fe2807deed1d16e26ec24b183b9c23f2ea2e', 'height': 80, 'width': 64}]",Nate Dogg,77,artist,spotify:artist:1Oa0bMld0A3u5OTYfMzp5h,https://open.spotify.com/artist/1Oa0bMld0A3u5OTYfMzp5h,,1775676
0,[],3vDUJHQtqT3jFRZ2ECXDTi,"[{'url': 'https://i.scdn.co/image/ab6761610000e5eb0835b363040142d901d7d0e9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740835b363040142d901d7d0e9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780835b363040142d901d7d0e9', 'height': 160, 'width': 160}]",Lloyd Banks,63,artist,spotify:artist:3vDUJHQtqT3jFRZ2ECXDTi,https://open.spotify.com/artist/3vDUJHQtqT3jFRZ2ECXDTi,,1396714
0,['pop'],04gDigrS5kc9YWfZHwBETP,"[{'url': 'https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174f8349dfb619a7f842242de77', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178f8349dfb619a7f842242de77', 'height': 160, 'width': 160}]",Maroon 5,86,artist,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,,44362382
