,extensions,data.artist.id,data.artist.uri,data.artist.profile.name,data.artist.discography.albums.totalCount,data.artist.discography.singles.totalCount,data.artist.discography.compilations.totalCount,message
0,[],0TF6B1cp2QZXLE0NjhTMT9,spotify:artist:0TF6B1cp2QZXLE0NjhTMT9,LITE,15.0,15.0,0.0,
0,[],2lQvoGjN6jJfsAkaywtgrB,spotify:artist:2lQvoGjN6jJfsAkaywtgrB,Canibus,32.0,37.0,0.0,
0,[],3BeQqzKdlARoOd6y30kCO2,spotify:artist:3BeQqzKdlARoOd6y30kCO2,Pete Rock,25.0,45.0,0.0,
0,[],4VhYUWpDsLraUG6Sd8g9TF,spotify:artist:4VhYUWpDsLraUG6Sd8g9TF,Bronze Nazareth,28.0,30.0,0.0,
0,[],26T3LtbuGT1Fu9m0eRq5X3,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,9.0,13.0,0.0,
0,[],5rexG906fVLfq8H9m8J9P9,spotify:artist:5rexG906fVLfq8H9m8J9P9,Alison Mosshart,1.0,6.0,0.0,
0,[],4FGPzWzgjURDNT7JQ8pYgH,spotify:artist:4FGPzWzgjURDNT7JQ8pYgH,Zach Top,2.0,17.0,0.0,
0,[],6zuxaIpAfcRq48qHl9f5KO,spotify:artist:6zuxaIpAfcRq48qHl9f5KO,Marcey Hamm,6.0,0.0,0.0,
0,[],6T70tWxqyIpdVbsFvPzqM3,spotify:artist:6T70tWxqyIpdVbsFvPzqM3,La La Land Cast,0.0,0.0,0.0,
0,[],68Uwx1d3EbjDJhYsLjqvIq,spotify:artist:68Uwx1d3EbjDJhYsLjqvIq,Emma Stone,0.0,3.0,0.0,
0,[],13kKxNPnxPeeWQaAaZwvCP,spotify:artist:13kKxNPnxPeeWQaAaZwvCP,Callie Hernandez,0.0,0.0,0.0,
0,[],4FFGJ9ERSX06Sl8hD7GRVv,spotify:artist:4FFGJ9ERSX06Sl8hD7GRVv,Sonoya Mizuno,0.0,0.0,0.0,
0,[],21yiGQIpkiP8edfxDipQaW,spotify:artist:21yiGQIpkiP8edfxDipQaW,Jessica Rothe,0.0,0.0,0.0,
0,[],2snm3HmsnDUDxbIChdl2Oj,spotify:artist:2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz,7.0,4.0,0.0,
0,[],6kXm2YCtdUOpRYNKeKhfue,spotify:artist:6kXm2YCtdUOpRYNKeKhfue,Ryan Gosling,0.0,5.0,0.0,
0,[],5y2Xq6xcjJb2jVM54GHK3t,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,John Legend,18.0,79.0,1.0,
0,[],3y6Lfjkrdn5TgkbgDxbpvM,spotify:artist:3y6Lfjkrdn5TgkbgDxbpvM,marzuz,1.0,8.0,0.0,
0,[],4XrL4M8qhP14zpdqfb5F9a,spotify:artist:4XrL4M8qhP14zpdqfb5F9a,maiki,0.0,0.0,0.0,
0,[],0fTSzq9jAh4c36UVb4V7CB,spotify:artist:0fTSzq9jAh4c36UVb4V7CB,Alex Warren,1.0,23.0,0.0,
0,[],3q7HBObVc0L8jNeTe5Gofh,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,50 Cent,7.0,42.0,1.0,
0,[],7dGJo4pcD2V6oG8kP0tJRR,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,20.0,32.0,3.0,
0,[],4pr7J7wzgObkE3DD3Izi7q,spotify:artist:4pr7J7wzgObkE3DD3Izi7q,Young Buck,80.0,60.0,3.0,
0,[],50UMTib697JJ44le8DO2Va,spotify:artist:50UMTib697JJ44le8DO2Va,Tony Yayo,10.0,11.0,4.0,
0,[],1Oa0bMld0A3u5OTYfMzp5h,spotify:artist:1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,5.0,17.0,1.0,
0,[],3vDUJHQtqT3jFRZ2ECXDTi,spotify:artist:3vDUJHQtqT3jFRZ2ECXDTi,Lloyd Banks,19.0,20.0,0.0,
0,[],04gDigrS5kc9YWfZHwBETP,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5,14.0,38.0,2.0,
